timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1634565460102,1409,Petición,200,OK,Prueba de Carga 100 usuarios 1-1,text,true,,29913,114,3,3,https://reqres.in/,1180,0,794
1634565460631,940,Petición,200,OK,Prueba de Carga 100 usuarios 1-2,text,true,,29914,114,2,2,https://reqres.in/,826,0,430
1634565461231,946,Petición,200,OK,Prueba de Carga 100 usuarios 1-3,text,true,,29919,114,2,2,https://reqres.in/,816,0,430
1634565461832,1040,Petición,200,OK,Prueba de Carga 100 usuarios 1-4,text,true,,29902,114,2,2,https://reqres.in/,938,0,509
1634565462431,1037,Petición,200,OK,Prueba de Carga 100 usuarios 1-5,text,true,,29908,114,2,2,https://reqres.in/,939,0,510
1634565463046,1106,Petición,200,OK,Prueba de Carga 100 usuarios 1-6,text,true,,29904,114,2,2,https://reqres.in/,963,0,534
1634565463646,912,Petición,200,OK,Prueba de Carga 100 usuarios 1-7,text,true,,29914,114,2,2,https://reqres.in/,803,0,403
1634565464232,1016,Petición,200,OK,Prueba de Carga 100 usuarios 1-8,text,true,,29904,114,2,2,https://reqres.in/,867,0,465
1634565464830,1072,Petición,200,OK,Prueba de Carga 100 usuarios 1-9,text,true,,29917,114,2,2,https://reqres.in/,820,0,436
1634565465429,1107,Petición,200,OK,Prueba de Carga 100 usuarios 1-10,text,true,,29912,114,2,2,https://reqres.in/,859,0,474
1634565466030,1075,Petición,200,OK,Prueba de Carga 100 usuarios 1-11,text,true,,29915,114,2,2,https://reqres.in/,904,0,521
1634565466631,1028,Petición,200,OK,Prueba de Carga 100 usuarios 1-12,text,true,,29908,114,2,2,https://reqres.in/,907,0,500
1634565467231,1041,Petición,200,OK,Prueba de Carga 100 usuarios 1-13,text,true,,29900,114,2,2,https://reqres.in/,900,0,513
1634565467831,1047,Petición,200,OK,Prueba de Carga 100 usuarios 1-14,text,true,,29922,114,2,2,https://reqres.in/,909,0,492
1634565468431,927,Petición,200,OK,Prueba de Carga 100 usuarios 1-15,text,true,,29912,114,2,2,https://reqres.in/,819,0,424
1634565469030,907,Petición,200,OK,Prueba de Carga 100 usuarios 1-16,text,true,,29915,114,2,2,https://reqres.in/,776,0,424
1634565469630,1082,Petición,200,OK,Prueba de Carga 100 usuarios 1-17,text,true,,29914,114,2,2,https://reqres.in/,823,0,464
1634565470231,986,Petición,200,OK,Prueba de Carga 100 usuarios 1-18,text,true,,29908,114,2,2,https://reqres.in/,858,0,469
1634565470829,907,Petición,200,OK,Prueba de Carga 100 usuarios 1-19,text,true,,29908,114,2,2,https://reqres.in/,789,0,422
1634565471431,950,Petición,200,OK,Prueba de Carga 100 usuarios 1-20,text,true,,29916,114,2,2,https://reqres.in/,833,0,464
1634565472028,965,Petición,200,OK,Prueba de Carga 100 usuarios 1-21,text,true,,29914,114,2,2,https://reqres.in/,825,0,467
1634565472631,1080,Petición,200,OK,Prueba de Carga 100 usuarios 1-22,text,true,,29908,114,2,2,https://reqres.in/,942,0,545
1634565473229,1066,Petición,200,OK,Prueba de Carga 100 usuarios 1-23,text,true,,29898,114,2,2,https://reqres.in/,948,0,546
1634565473830,1027,Petición,200,OK,Prueba de Carga 100 usuarios 1-24,text,true,,29904,114,2,2,https://reqres.in/,942,0,519
1634565474430,1084,Petición,200,OK,Prueba de Carga 100 usuarios 1-25,text,true,,29908,114,2,2,https://reqres.in/,979,0,550
1634565475030,964,Petición,200,OK,Prueba de Carga 100 usuarios 1-26,text,true,,29904,114,2,2,https://reqres.in/,860,0,431
1634565475631,916,Petición,200,OK,Prueba de Carga 100 usuarios 1-27,text,true,,29906,114,2,2,https://reqres.in/,774,0,420
1634565476230,990,Petición,200,OK,Prueba de Carga 100 usuarios 1-28,text,true,,29902,114,2,2,https://reqres.in/,865,0,473
1634565476830,988,Petición,200,OK,Prueba de Carga 100 usuarios 1-29,text,true,,29906,114,2,2,https://reqres.in/,860,0,504
1634565477431,1076,Petición,200,OK,Prueba de Carga 100 usuarios 1-30,text,true,,29902,114,2,2,https://reqres.in/,943,0,539
1634565478031,1012,Petición,200,OK,Prueba de Carga 100 usuarios 1-31,text,true,,29924,114,2,2,https://reqres.in/,908,0,503
1634565478630,1025,Petición,200,OK,Prueba de Carga 100 usuarios 1-32,text,true,,29906,114,2,2,https://reqres.in/,900,0,505
1634565479230,1048,Petición,200,OK,Prueba de Carga 100 usuarios 1-33,text,true,,29914,114,2,2,https://reqres.in/,916,0,514
1634565479831,1383,Petición,200,OK,Prueba de Carga 100 usuarios 1-34,text,true,,29950,114,3,3,https://reqres.in/,818,0,417
1634565480445,1036,Petición,200,OK,Prueba de Carga 100 usuarios 1-35,text,true,,29908,114,2,2,https://reqres.in/,794,0,410
1634565481048,1071,Petición,200,OK,Prueba de Carga 100 usuarios 1-36,text,true,,29934,114,2,2,https://reqres.in/,841,0,451
1634565481631,960,Petición,200,OK,Prueba de Carga 100 usuarios 1-37,text,true,,29908,114,2,2,https://reqres.in/,820,0,464
1634565482230,1078,Petición,200,OK,Prueba de Carga 100 usuarios 1-38,text,true,,29904,114,2,2,https://reqres.in/,945,0,538
1634565482831,1047,Petición,200,OK,Prueba de Carga 100 usuarios 1-39,text,true,,29909,114,2,2,https://reqres.in/,906,0,509
1634565483430,1024,Petición,200,OK,Prueba de Carga 100 usuarios 1-40,text,true,,29920,114,2,2,https://reqres.in/,939,0,500
1634565484029,1080,Petición,200,OK,Prueba de Carga 100 usuarios 1-41,text,true,,29902,114,2,2,https://reqres.in/,981,0,542
1634565484630,1104,Petición,200,OK,Prueba de Carga 100 usuarios 1-42,text,true,,29941,114,2,2,https://reqres.in/,859,0,468
1634565485252,919,Petición,200,OK,Prueba de Carga 100 usuarios 1-43,text,true,,29913,114,2,2,https://reqres.in/,804,0,410
1634565485829,1425,Petición,200,OK,Prueba de Carga 100 usuarios 1-44,text,true,,29935,114,3,3,https://reqres.in/,824,0,460
1634565486430,1022,Petición,200,OK,Prueba de Carga 100 usuarios 1-45,text,true,,29945,114,2,2,https://reqres.in/,780,0,425
1634565487028,1068,Petición,200,OK,Prueba de Carga 100 usuarios 1-46,text,true,,29902,114,2,2,https://reqres.in/,950,0,541
1634565487630,1110,Petición,200,OK,Prueba de Carga 100 usuarios 1-47,text,true,,29906,114,2,2,https://reqres.in/,971,0,583
1634565488229,1036,Petición,200,OK,Prueba de Carga 100 usuarios 1-48,text,true,,29910,114,2,2,https://reqres.in/,914,0,507
1634565488830,1032,Petición,200,OK,Prueba de Carga 100 usuarios 1-49,text,true,,29900,114,2,2,https://reqres.in/,906,0,504
1634565489430,1036,Petición,200,OK,Prueba de Carga 100 usuarios 1-50,text,true,,29910,114,2,2,https://reqres.in/,940,0,515
1634565490029,1067,Petición,200,OK,Prueba de Carga 100 usuarios 1-51,text,true,,29910,114,2,2,https://reqres.in/,939,0,546
1634565490642,1058,Petición,200,OK,Prueba de Carga 100 usuarios 1-52,text,true,,29904,114,2,2,https://reqres.in/,926,0,526
1634565491231,1064,Petición,200,OK,Prueba de Carga 100 usuarios 1-53,text,true,,29925,114,2,2,https://reqres.in/,954,0,510
1634565491830,990,Petición,200,OK,Prueba de Carga 100 usuarios 1-54,text,true,,29904,114,2,2,https://reqres.in/,863,0,489
1634565492430,963,Petición,200,OK,Prueba de Carga 100 usuarios 1-55,text,true,,29904,114,2,2,https://reqres.in/,821,0,429
1634565493030,945,Petición,200,OK,Prueba de Carga 100 usuarios 1-56,text,true,,29914,114,2,2,https://reqres.in/,819,0,424
1634565493629,917,Petición,200,OK,Prueba de Carga 100 usuarios 1-57,text,true,,29906,114,2,2,https://reqres.in/,791,0,425
1634565494230,1101,Petición,200,OK,Prueba de Carga 100 usuarios 1-58,text,true,,29909,114,2,2,https://reqres.in/,940,0,545
1634565494830,1074,Petición,200,OK,Prueba de Carga 100 usuarios 1-59,text,true,,29912,114,2,2,https://reqres.in/,945,0,541
1634565495430,1025,Petición,200,OK,Prueba de Carga 100 usuarios 1-60,text,true,,29904,114,2,2,https://reqres.in/,899,0,503
1634565496030,1024,Petición,200,OK,Prueba de Carga 100 usuarios 1-61,text,true,,29928,114,2,2,https://reqres.in/,910,0,504
1634565496628,1018,Petición,200,OK,Prueba de Carga 100 usuarios 1-62,text,true,,29918,114,2,2,https://reqres.in/,873,0,467
1634565497230,930,Petición,200,OK,Prueba de Carga 100 usuarios 1-63,text,true,,29910,114,2,2,https://reqres.in/,819,0,429
1634565497830,926,Petición,200,OK,Prueba de Carga 100 usuarios 1-64,text,true,,29902,114,2,2,https://reqres.in/,818,0,426
1634565498431,950,Petición,200,OK,Prueba de Carga 100 usuarios 1-65,text,true,,29923,114,2,2,https://reqres.in/,808,0,429
1634565499031,1024,Petición,200,OK,Prueba de Carga 100 usuarios 1-66,text,true,,29910,114,2,2,https://reqres.in/,938,0,515
1634565499629,1044,Petición,200,OK,Prueba de Carga 100 usuarios 1-67,text,true,,29909,114,2,2,https://reqres.in/,901,0,507
1634565500230,1037,Petición,200,OK,Prueba de Carga 100 usuarios 1-68,text,true,,29900,114,2,2,https://reqres.in/,898,0,491
1634565500830,1030,Petición,200,OK,Prueba de Carga 100 usuarios 1-69,text,true,,29920,114,2,2,https://reqres.in/,916,0,502
1634565501431,937,Petición,200,OK,Prueba de Carga 100 usuarios 1-70,text,true,,29912,114,2,2,https://reqres.in/,858,0,423
1634565502030,935,Petición,200,OK,Prueba de Carga 100 usuarios 1-71,text,true,,29904,114,2,2,https://reqres.in/,827,0,426
1634565502631,1103,Petición,200,OK,Prueba de Carga 100 usuarios 1-72,text,true,,29920,114,2,2,https://reqres.in/,856,0,466
1634565503230,917,Petición,200,OK,Prueba de Carga 100 usuarios 1-73,text,true,,29913,114,2,2,https://reqres.in/,791,0,423
1634565503833,1037,Petición,200,OK,Prueba de Carga 100 usuarios 1-74,text,true,,29922,114,2,2,https://reqres.in/,937,0,541
1634565504430,1065,Petición,200,OK,Prueba de Carga 100 usuarios 1-75,text,true,,29920,114,2,2,https://reqres.in/,937,0,539
1634565505030,981,Petición,200,OK,Prueba de Carga 100 usuarios 1-76,text,true,,29908,114,2,2,https://reqres.in/,857,0,464
1634565505630,1038,Petición,200,OK,Prueba de Carga 100 usuarios 1-77,text,true,,29917,114,2,2,https://reqres.in/,911,0,510
1634565506230,985,Petición,200,OK,Prueba de Carga 100 usuarios 1-78,text,true,,29908,114,2,2,https://reqres.in/,860,0,456
1634565506830,941,Petición,200,OK,Prueba de Carga 100 usuarios 1-79,text,true,,29902,114,2,2,https://reqres.in/,809,0,433
1634565507430,943,Petición,200,OK,Prueba de Carga 100 usuarios 1-80,text,true,,29906,114,2,2,https://reqres.in/,820,0,449
1634565508030,941,Petición,200,OK,Prueba de Carga 100 usuarios 1-81,text,true,,29908,114,2,2,https://reqres.in/,782,0,409
1634565508631,985,Petición,200,OK,Prueba de Carga 100 usuarios 1-82,text,true,,29910,114,2,2,https://reqres.in/,857,0,469
1634565509232,1023,Petición,200,OK,Prueba de Carga 100 usuarios 1-83,text,true,,29913,114,2,2,https://reqres.in/,781,0,419
1634565509829,1037,Petición,200,OK,Prueba de Carga 100 usuarios 1-84,text,true,,29920,114,2,2,https://reqres.in/,902,0,506
1634565510430,1070,Petición,200,OK,Prueba de Carga 100 usuarios 1-85,text,true,,29924,114,2,2,https://reqres.in/,932,0,520
1634565511030,1013,Petición,200,OK,Prueba de Carga 100 usuarios 1-86,text,true,,29906,114,2,2,https://reqres.in/,906,0,470
1634565511646,1020,Petición,200,OK,Prueba de Carga 100 usuarios 1-87,text,true,,29910,114,2,2,https://reqres.in/,889,0,490
1634565512229,1106,Petición,200,OK,Prueba de Carga 100 usuarios 1-88,text,true,,29918,114,2,2,https://reqres.in/,860,0,462
1634565512830,915,Petición,200,OK,Prueba de Carga 100 usuarios 1-89,text,true,,29908,114,2,2,https://reqres.in/,785,0,424
1634565513430,1019,Petición,200,OK,Prueba de Carga 100 usuarios 1-90,text,true,,29902,114,2,2,https://reqres.in/,858,0,465
1634565514030,925,Petición,200,OK,Prueba de Carga 100 usuarios 1-91,text,true,,29919,114,2,2,https://reqres.in/,810,0,423
1634565514629,996,Petición,200,OK,Prueba de Carga 100 usuarios 1-92,text,true,,29900,114,2,2,https://reqres.in/,861,0,476
1634565515230,1038,Petición,200,OK,Prueba de Carga 100 usuarios 1-93,text,true,,29906,114,2,2,https://reqres.in/,914,0,514
1634565515829,1016,Petición,200,OK,Prueba de Carga 100 usuarios 1-94,text,true,,29902,114,2,2,https://reqres.in/,900,0,474
1634565516430,1097,Petición,200,OK,Prueba de Carga 100 usuarios 1-95,text,true,,29906,114,2,2,https://reqres.in/,944,0,512
1634565517031,982,Petición,200,OK,Prueba de Carga 100 usuarios 1-96,text,true,,29913,114,2,2,https://reqres.in/,864,0,480
1634565517630,929,Petición,200,OK,Prueba de Carga 100 usuarios 1-97,text,true,,29900,114,2,2,https://reqres.in/,776,0,401
1634565518229,1080,Petición,200,OK,Prueba de Carga 100 usuarios 1-98,text,true,,29935,114,2,2,https://reqres.in/,862,0,465
1634565518829,946,Petición,200,OK,Prueba de Carga 100 usuarios 1-99,text,true,,29902,114,2,2,https://reqres.in/,810,0,422
1634565519430,1031,Petición,200,OK,Prueba de Carga 100 usuarios 1-100,text,true,,29908,114,1,1,https://reqres.in/,987,0,504
